Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr11	44520167	44520448	282	3	Island;Shore	Weak Repressed PolyComb	Weak Repressed PolyComb		0.0049	0.00336666666666667	1.05598647287023e-06	1.50608728132234e-05	2.29377282171308e-07
chr15	68614884	68615225	342	2	Open sea	Enhancers	Enhancers	CORO2B	0.0046	0.00455	1.56190125923561e-07	9.58281152262867e-06	2.29625375898296e-07
chr6	31463795	31464191	397	2	Open sea	Flanking Active TSS	Flanking Active TSS	HCP5;XXbac-BPG181B23.6	0.0042	0.00395	1.03913903639211e-07	3.55768586289944e-05	2.29718543806688e-07
chr17	80105045	80105995	951	7	Shore;Island	Weak transcription;Strong transcription	Weak transcription;Enhancers	GAA	0.0074	0.00334285714285714	1.46473486198389e-07	0.000270504493313945	2.29935897993461e-07
chr8	141251606	141251971	366	3	Shore	Weak transcription	Weak transcription;Strong transcription	SLC45A4	0.0071	0.0043	1.70599722344628e-05	6.11850203855587e-06	2.30063599263951e-07
chr19	4338771	4339219	449	8	Open sea	Flanking Active TSS;Enhancers;Weak transcription	Enhancers;Weak transcription	STAP2;AC007292.7	0.0036	0.0025375	1.36695299736678e-07	0.000564991886046292	2.30676754598761e-07
chr6	170090668	170090751	84	2	Shelf	Weak Repressed PolyComb	Weak Repressed PolyComb		0.0053	0.00505	1.56365580257499e-07	9.71263273568909e-06	2.30798239032175e-07
chr17	81125106	81126081	976	9	Shelf	Repressed PolyComb;Bivalent Enhancer	Weak Repressed PolyComb;Bivalent Enhancer	AATK;MIR657;AC115099.1	-0.0048	-0.000688888888888889	1.3451551793453e-06	2.75364972142185e-06	2.31807789728171e-07
chr22	41982937	41983126	190	2	Open sea	Weak Repressed PolyComb;Enhancers	Weak Repressed PolyComb;Enhancers	SEPT3;CTA-250D10.19	-0.0047	-0.00455	1.20326627812732e-07	2.11367711005003e-05	2.31863867935316e-07
chr14	23408673	23409586	914	5	Open sea	Enhancers	Weak transcription	MYH6	-0.0046	-0.00242	1.9828963687327e-06	0.000972487989711449	2.32574254002053e-07
chr3	194296691	194297138	448	6	Island	Flanking Active TSS;Active TSS;Weak Repressed PolyComb	Enhancers;Weak transcription	LINC00887	-0.0052	-0.00216666666666667	0.000206216723674924	1.02335214666268e-05	2.32768885704241e-07
chr17	50633816	50635008	1193	14	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent/Poised TSS	ABCC3	0.0065	0.00216428571428571	0.000242661206098282	0.000126149613696197	2.33081297018195e-07
chr8	23455147	23455402	256	2	Shelf;Shore	Enhancers	Enhancers	ENTPD4	-0.0078	-0.00325	2.86478006424539e-05	6.22252150420789e-08	2.33576474453153e-07
chr17	28982467	28983008	542	3	Shelf	Enhancers;Weak transcription	Weak transcription	SEZ6;PIPOX	0.006	0.0045	7.956263389401e-08	0.000269790634565074	2.34237221416463e-07
chr17	74442597	74443077	481	4	Open sea;Shelf	Flanking Active TSS	Flanking Active TSS	GPRC5C	-0.0053	-0.002275	0.000458636377719722	3.82749213600512e-07	2.34432541668147e-07
chr2	121505267	121505410	144	2	Open sea	Enhancers	Enhancers		-0.0048	-0.00465	2.198671078069e-07	4.7988560927236e-06	2.34785152231965e-07
chr3	146251791	146251930	140	2	Shore	Weak Repressed PolyComb	Active TSS;Enhancers	PLSCR4	-0.0039	-0.00365	9.16740454266482e-08	7.94404757450792e-05	2.34822275773053e-07
chr13	112705316	112705521	206	2	Shelf	Active TSS;Quiescent/Low	Weak transcription	ATP11A	0.0083	0.0065	1.83827639334365e-07	7.18856383844775e-06	2.37158102798854e-07
chr20	3659897	3659957	61	2	Shore	Repressed PolyComb	Repressed PolyComb	GFRA4	0.0038	0.00315	1.00797051877829e-07	5.03836812778078e-05	2.38519234518229e-07
chr19	34253490	34253656	167	2	Shore	Quiescent/Low;Enhancers	Quiescent/Low;Active TSS	KIAA0355	-0.0053	-0.00245	0.00102238133971058	2.814045955175e-08	2.38665044709372e-07
chr11	6474775	6475259	485	3	Shore	Enhancers;Weak transcription	Weak transcription	ARFIP2;TRIM3	0.0042	-0.00103333333333333	1.10068722332766e-07	0.000105838347824682	2.38755543012118e-07
chr21	33079130	33079380	251	2	Open sea	Repressed PolyComb;Weak Repressed PolyComb	Weak Repressed PolyComb		-0.0071	-0.0046	7.80606528732694e-07	7.77847550697261e-07	2.39093110115696e-07
chr6	31715273	31715574	302	6	Open sea	Weak Repressed PolyComb	Quiescent/Low	XXbac-BPG32J3.19;XXbac-BPG32J3.20;LY6G6D;LY6G6E	0.0074	0.0028	0.000108071368516825	7.46378671297724e-06	2.39375862847265e-07
chr16	64735704	64735838	135	3	Open sea	Quiescent/Low	Quiescent/Low	RP11-439I14.1;RP11-439I14.2	-0.0054	-0.00453333333333333	6.9420046959245e-08	0.000178715665442924	2.39963422039022e-07
chr12	51905739	51906720	982	3	Shore	Enhancers;Flanking Active TSS;Flanking Bivalent TSS/Enh	Enhancers;Bivalent Enhancer;Flanking Bivalent TSS/Enh	ACVRL1	0.0054	0.00403333333333333	5.56067327979383e-08	0.00036046641569492	2.41106268293559e-07
chr12	56643363	56644332	970	4	Shore	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers	ATP5B	-0.0069	-0.00505	1.27135261174638e-07	6.5878868250803e-05	2.41581587490543e-07
chr1	1622716	1622991	276	2	Shore	Flanking Active TSS	Flanking Active TSS	MIB2	-0.0032	-0.00275	3.15088573944085e-07	2.71097057534515e-06	2.41792166016595e-07
chr10	132571902	132572193	292	2	Open sea	Enhancers	Flanking Active TSS;Enhancers	INPP5A	-0.0054	-0.00355	4.19841556790446e-05	5.65032964319225e-08	2.42505538182553e-07
chr3	49840622	49841064	443	2	Open sea	Enhancers	Enhancers		0.0077	0.0064	9.36767799596692e-08	9.05682145919963e-05	2.43569518506132e-07
chr22	49780075	49780648	574	9	Shelf	Flanking Active TSS;Enhancers	Enhancers	BRD1	0.0044	0.000822222222222222	1.66703169932203e-05	0.000421344717778536	2.43684768993542e-07
chr11	1304553	1305875	1323	7	Open sea;Shelf	Genic enhancers;Strong transcription	Enhancers;Weak transcription	BRSK2;TOLLIP;TOLLIP-AS1	0.0042	0.000557142857142857	1.17821865711472e-06	0.00113609507256621	2.44470341105366e-07
chr15	63388780	63388784	5	2	Open sea	Enhancers	Enhancers		-0.0127	-0.0117	9.33514496275438e-08	9.74394213697678e-05	2.44986836242821e-07
chr4	6939174	6939187	14	2	Open sea	Enhancers	Enhancers	TBC1D14;GRPEL1	0.0075	0.0058	1.7944616029886e-07	8.42936936207269e-06	2.45544464848376e-07
chr3	49278419	49279351	933	3	Shore	Genic enhancers	Enhancers;Weak transcription	C3orf62;USP4	0.0042	0.0037	1.13800423453842e-07	0.000160927208764429	2.45710272511317e-07
chr11	70434275	70435523	1249	8	Open sea	Strong transcription	Strong transcription	CTTN	0.0077	0.0023625	5.71852598355954e-06	1.45873081920585e-05	2.46243547021644e-07
chr22	49938285	49938617	333	2	Shore;Shelf	Flanking Active TSS;Enhancers	Enhancers;Flanking Active TSS		0.0059	0.0058	2.16139362720138e-07	5.65647274125089e-06	2.46346474224524e-07
chr10	77183642	77183875	234	3	Open sea	Quiescent/Low	Weak transcription	KCNMA1	-0.0055	-0.00306666666666667	0.000127000137361011	3.16352437818044e-07	2.46646814605069e-07
chr10	35412217	35412575	359	2	Open sea	Enhancers	Enhancers	CCNY	0.006	0.0047	3.51593571561536e-06	2.1101381773752e-07	2.47018853106714e-07
chr12	11878190	11878369	180	2	Open sea	Enhancers	Enhancers	ETV6	0.0076	0.00565	5.75787099776879e-07	1.19368841596534e-06	2.47103507945524e-07
chr7	777322	777501	180	2	Shelf	Strong transcription	Strong transcription	DNAAF5	0.0053	0.00525	1.92154899737978e-07	7.39877732586649e-06	2.47757628579582e-07
chr5	68243656	68243748	93	2	Open sea	Enhancers	Enhancers	PIK3R1	0.0061	0.00545	9.84800448733406e-08	7.3640246190472e-05	2.47900382585174e-07
chr5	1800069	1801027	959	8	Island	Active TSS;Flanking Active TSS;NA	Active TSS;Flanking Active TSS	NDUFS6;MRPL36	-0.0068	-0.0025625	0.000971500154596179	2.51123371193076e-06	2.4805008387901e-07
chr1	156429845	156430639	795	5	Open sea	Repressed PolyComb	Repressed PolyComb	C1orf61	0.0053	0.003	4.6155464860288e-05	0.000172829830468419	2.48101544736457e-07
chr17	18006920	18007659	740	5	Island;Shore	Strong transcription	Weak transcription	LRRC48;ATPAF2	0.0054	0.00292	6.46608233201431e-05	5.62959066891569e-07	2.48158752328336e-07
chr3	113276020	113276430	411	3	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS	BOC	0.0057	0.0033	1.12816032670298e-05	6.99943317610827e-06	2.48286390013593e-07
chr1	93702074	93702218	145	2	Open sea	Flanking Active TSS	Enhancers	BCAR3	-0.0168	-0.00875	0.000620691872403659	3.10946194200422e-08	2.48328665790988e-07
chr7	2802876	2803111	236	2	Open sea	Flanking Active TSS	Enhancers	GNA12	0.0069	0.00545	1.310495624419e-07	2.09551607017684e-05	2.48404796185041e-07
chr16	2235250	2236599	1350	13	Island;Shore	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent Enhancer	DNASE1L2;E4F1;RP11-304L19.12;ZNF213-AS1	-0.0052	-0.00161538461538462	0.000177786538402777	3.74718655521619e-06	2.50144730966813e-07
chr17	36591197	36591406	210	3	Shore	Flanking Active TSS	Enhancers;Flanking Active TSS	DHRS11	-0.0049	-0.00383333333333333	1.40894766710939e-07	3.40748598579208e-05	2.50251563908491e-07
chr21	32493438	32493462	25	2	Open sea	Weak transcription	Weak transcription	EVA1C	0.0051	0.00495	1.65033017358715e-07	1.10058433457853e-05	2.5032768768761e-07
chr2	102478643	102479244	602	4	Open sea	Quiescent/Low	Quiescent/Low	SLC9A4	0.0042	0.002925	5.69671110874724e-07	1.39405427949152e-05	2.50382449960437e-07
chr4	6917990	6918385	396	3	Open sea	Enhancers	Enhancers	KIAA0232;TBC1D14;GRPEL1	0.0051	0.0046	1.37259108425246e-07	5.25568027662456e-05	2.50939532140873e-07
chr5	149732185	149732780	596	6	Island;Shore	Active TSS	Active TSS	PPARGC1B;MIR378A	-0.0045	-0.00311666666666667	1.54986602980938e-07	0.00105189476899249	2.51084224054655e-07
chr11	22362350	22362823	474	5	Open sea	Quiescent/Low	Quiescent/Low	CTD-2140G10.4;SLC17A6	-0.0115	-0.00306	0.00111611198103	4.98819997311728e-08	2.51642089936122e-07
chr8	133533441	133534061	621	3	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	ST3GAL1	-0.0068	-0.0052	5.41247750242744e-08	0.000558997563051161	2.51675233909717e-07
chr1	161720913	161721223	311	2	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	FCRLB	-0.0083	-0.00325	1.89626669088653e-05	8.19032495692978e-08	2.52113216752103e-07
chr6	151025221	151025272	52	2	Open sea	Quiescent/Low	Weak transcription	MTHFD1L	-0.0052	-0.00445	1.75224917729739e-07	9.7281911827355e-06	2.5247833120922e-07
chr15	40072322	40072660	339	3	Open sea	Enhancers	Quiescent/Low		0.0038	0.0033	7.49302505824991e-08	0.000154454243508284	2.52562585260086e-07
chr11	15552240	15552708	469	3	Open sea	Quiescent/Low	Quiescent/Low	RP11-531H8.1	0.0063	0.00403333333333333	2.56833700127298e-06	6.7918460562143e-05	2.53298648151266e-07
chr17	78187241	78187999	759	8	Island;Shore	Active TSS;Flanking Active TSS	Enhancers;Flanking Active TSS	AFMID;TK1	-0.0065	-0.0021125	0.00486400202434654	3.69301407498747e-07	2.53886823238878e-07
chr9	89808556	89808669	114	2	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	RP5-1050E16.2	-0.0051	-0.00475	1.66814568932579e-07	1.13138179714754e-05	2.54603151165994e-07
chr17	18107398	18108819	1422	10	Open sea	Strong transcription;Weak transcription	Strong transcription;Weak transcription	DRG2;RP11-258F1.2;MYO15A	0.0048	0.00196	2.01412314280409e-06	0.000845999596588124	2.55114992434347e-07
chr11	34915233	34915570	338	3	Shore	Flanking Active TSS;Enhancers	Flanking Active TSS	PDHX;APIP	-0.0053	-0.00346666666666667	0.00106374929450861	4.06154654874836e-05	2.55518586158729e-07
chr6	113645491	113645784	294	2	Open sea	Quiescent/Low;Enhancers	Enhancers	RP11-367G18.1;MARCKS;LINC02541	-0.0075	-0.00535	1.22507895057559e-06	5.4682574643979e-07	2.56080780250042e-07
chr6	99423511	99423661	151	2	Shore	Flanking Active TSS	Flanking Active TSS	RP11-98I9.4;PNISR	-0.0072	-0.00715	9.71478369351436e-08	0.000109893958381708	2.57689655627807e-07
chr10	29731190	29731210	21	2	Shelf	Enhancers	Enhancers		-0.007	-0.00605	2.52386017511658e-07	4.70238681865042e-06	2.57871338456407e-07
chr16	73228801	73228915	115	2	Open sea	Quiescent/Low	Quiescent/Low		0.0056	0.0047	1.74881805109316e-07	1.04555231395218e-05	2.57893049647433e-07
chr7	55133623	55133851	229	2	Open sea	Enhancers	Enhancers	EGFR;EGFR-AS1	0.0081	0.00525	1.29695944572119e-05	1.01659140570343e-07	2.58455006717975e-07
chr1	94063172	94064210	1039	5	Open sea	Enhancers	Weak transcription;Enhancers	ABCA4;ARHGAP29	0.0057	0.00274	6.3866086682689e-05	1.7981253580241e-06	2.5888156656343e-07
chr11	68426080	68426769	690	7	Shore	Strong transcription	Strong transcription	LRP5	0.0063	0.00374285714285714	2.90893895341607e-07	0.00143238581756695	2.60289089827573e-07
chr14	103869658	103870096	439	2	Open sea	Weak transcription	Weak transcription	CTD-2134A5.4	0.0055	0.005	3.32792230984884e-07	2.99544004461332e-06	2.62085822309261e-07
chr19	13138235	13138386	152	3	Island	Strong transcription	Strong transcription	NACC1	0.0037	0.0017	1.36605814083914e-06	6.16823561335132e-05	2.63242035047743e-07
chr6	22113230	22113286	57	2	Open sea	Quiescent/Low	Quiescent/Low	CASC15	-0.0063	-0.00625	1.16705864569936e-07	4.31130053431629e-05	2.6368537770269e-07
chr13	28754841	28755088	248	3	Open sea	Active TSS	Active TSS		0.0039	0.00313333333333333	1.03038800678995e-07	0.000244091749723789	2.64003008429618e-07
chr2	43170939	43171891	953	7	Island;Shore	Enhancers;Weak transcription	Enhancers	ZFP36L2	0.0057	0.00355714285714286	1.22250738206606e-06	0.00148942332714382	2.6440862150579e-07
chr12	101659849	101660147	299	2	Open sea	Strong transcription	Strong transcription	MYBPC1;RP11-755O11.2	-0.0074	-0.00505	1.55548346546288e-05	9.5795164130244e-08	2.64437141222589e-07
chr20	36352561	36353415	855	3	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	DLGAP4	0.004	0.0035	7.02660447491616e-08	0.000431556303207384	2.64620092302318e-07
chr10	99914108	99914110	3	2	Open sea	Enhancers	Weak transcription	DNMBP	0.0057	0.00465	1.08577472139588e-07	6.37091825094866e-05	2.64747550840522e-07
chr17	1400985	1401481	497	3	Shore	Weak transcription	Weak transcription	YWHAE	-0.0065	-0.00436666666666667	2.04696796850921e-06	7.6872572243733e-05	2.6476803456131e-07
chr1	41880512	41881180	669	2	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	HIVEP3	-0.0065	-0.0056	1.67900304631939e-07	1.28614431541183e-05	2.6598782627832e-07
chr6	50093351	50093684	334	3	Open sea	Quiescent/Low	Quiescent/Low	RP11-397G17.1	-0.008	-0.00443333333333333	1.90752353360681e-05	9.70520038438355e-08	2.66589687287279e-07
chr10	132735638	132736553	916	6	Shore;Island	Strong transcription	Weak transcription	INPP5A	0.0081	0.00413333333333333	6.02435730206026e-06	2.47829076187149e-05	2.66732000588087e-07
chr7	50558574	50558600	27	2	Open sea	Repressed PolyComb	Quiescent/Low	DDC	0.0047	0.00285	0.000127366505234379	4.54229183262693e-08	2.67150667082723e-07
chr20	417537	417785	249	2	Shelf;Shore	Genic enhancers	Enhancers		0.0076	0.00415	0.000272448676147455	3.846079898457e-08	2.67305407751369e-07
chr5	141419190	141420004	815	2	Island;Shore	Transcr. at gene 5' and 3';ZNF genes & repeats	Flanking Active TSS;Transcr. at gene 5' and 3'	PCDHGB5;PCDHGA6;PCDHGB6;PCDHGA7;PCDHGB7;PCDHGA8;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA3;PCDHGB3;PCDHGA4;PCDHGA10;PCDHGB4;PCDHGA5;PCDHGA11	0.0062	0.00525	1.01632609778939e-07	0.000108358734784653	2.68134889726815e-07
chr7	27247064	27247901	838	7	Shore	Repressed PolyComb	Repressed PolyComb	EVX1-AS;EVX1	0.0059	0.00237142857142857	0.000193308009564231	6.5549089336533e-07	2.68143352404217e-07
chr1	202438735	202439109	375	2	Open sea	Strong transcription	Strong transcription	PPP1R12B;RP11-175B9.2	-0.0072	-0.00445	6.70670579372428e-06	1.55635333174957e-07	2.69049567178437e-07
chr12	106120431	106120641	211	2	Open sea	Enhancers	Enhancers		0.0107	0.0069	4.53745738203986e-06	2.00735456667187e-07	2.69132669911643e-07
chr3	156812627	156812868	242	3	Shelf	Enhancers	Enhancers	CCNL1;LEKR1;LINC00886	-0.008	-0.00573333333333333	6.15145611326449e-08	0.000404625774693551	2.69354128646142e-07
chr2	195656205	195656726	522	7	Shore	Quiescent/Low;Active TSS	Enhancers;Flanking Active TSS;Active TSS	SLC39A10	-0.0143	-0.00268571428571429	0.00455736985279643	2.73291682599893e-09	2.69427236224676e-07
chr10	24246208	24246383	176	2	Open sea	Enhancers	Enhancers		-0.0066	-0.0061	1.25900433105621e-07	3.48315927410562e-05	2.69813461431408e-07
chr8	22118477	22119272	796	4	Open sea	Repressed PolyComb	Quiescent/Low	HR	0.0044	0.00235	0.000708956200612923	1.26541613659149e-06	2.69981748188901e-07
chr1	155251082	155251891	810	3	Shore	Flanking Active TSS;Strong transcription	Enhancers;Weak transcription	FAM189B	-0.0077	-0.000233333333333334	1.12068960855202e-07	6.3656969760846e-05	2.70357390884653e-07
chr10	58514994	58515447	454	2	Shore	Active TSS;Flanking Active TSS	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	BICC1	-0.0087	-0.0068	2.38880868230556e-07	5.95244713754878e-06	2.70442662716188e-07
chr5	178281302	178281605	304	4	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	COL23A1	0.0038	0.002775	1.36956100968879e-06	2.05289200147009e-05	2.70517650260315e-07
chrX	68832364	68832565	202	2	Shore;Shelf	Flanking Active TSS;Enhancers	Enhancers	EFNB1	0.0076	0.00525	3.74212894901777e-07	2.6699746235826e-06	2.70646459643225e-07
chr14	77014113	77014503	391	3	Open sea	Enhancers;Flanking Active TSS	Flanking Active TSS;Enhancers		-0.0055	-0.00393333333333333	1.12756753895395e-06	4.13655564143302e-05	2.71738926149379e-07
chr6	151391816	151392222	407	4	Shore	Active TSS	Active TSS;Flanking Active TSS	ZBTB2	-0.009	-0.005325	7.87784224306735e-05	9.58845496791262e-06	2.71741372885298e-07
chr10	13301577	13301606	30	2	Shore	Enhancers	Enhancers	PHYH	-0.006	-0.0031	0.00165433639199572	3.12250594679276e-08	2.72686075385002e-07
chr16	86929140	86929472	333	2	Shelf	Flanking Bivalent TSS/Enh;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer		0.0043	0.004	7.39875253006734e-07	1.06383396017748e-06	2.7272034114664e-07
chr13	78603059	78604368	1310	11	Open sea;Shelf	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	RNF219-AS1;POU4F1	0.0051	0.00136363636363636	5.50006244544551e-05	2.39204647641865e-05	2.7369921024899e-07
chr15	99450792	99450936	145	2	Open sea	Enhancers	Enhancers		0.0049	0.0047	1.15917933347706e-07	5.48489891662796e-05	2.73746211937044e-07
chr7	105118365	105118417	53	2	Open sea	Weak transcription	Strong transcription	SRPK2	-0.0062	-0.0049	1.94671278361305e-06	3.98360900872094e-07	2.74025122040983e-07
chr2	3237697	3237855	159	3	Open sea	Flanking Active TSS;Enhancers	Enhancers;Weak transcription	TSSC1	-0.0064	-0.0044	4.34023163292911e-07	5.72350471042079e-06	2.74276968377945e-07
chr3	142817597	142818173	577	3	Open sea	Quiescent/Low	Quiescent/Low	PCOLCE2	-0.005	-0.00466666666666667	3.52170343370006e-07	7.78284750797776e-06	2.74347438391112e-07
chr2	109318271	109318403	133	3	Open sea	Flanking Active TSS	Flanking Active TSS	SH3RF3	-0.0034	-0.003	5.89789896483441e-08	0.000597210912587257	2.74824146054318e-07
chr10	132765494	132765691	198	2	Shelf	Weak transcription	Weak transcription	INPP5A	0.0073	0.00605	1.04091553755191e-07	0.000113226564536874	2.75466649971068e-07
chr22	29214845	29215279	435	3	Open sea	Weak Repressed PolyComb	Quiescent/Low	EMID1	0.0043	0.00326666666666667	1.52039331320014e-05	1.8794564607635e-07	2.75554849812942e-07
chr12	124456760	124457234	475	5	Shore;Island	Enhancers	Flanking Active TSS;Enhancers	NCOR2	0.0043	0.00194	9.32183118638944e-05	3.6915015896498e-07	2.76049359485422e-07
chr1	17646845	17647061	217	3	Open sea	Strong transcription	Strong transcription	ARHGEF10L	-0.0073	-0.0037	1.32018938794486e-05	1.36259826594348e-07	2.76070321063993e-07
chr20	63283888	63284926	1039	10	Shore;Island	Strong transcription	Strong transcription	ARFGAP1	0.0051	0.00308	8.66277936124449e-08	0.00297516624722902	2.76104571731637e-07
chr11	44589618	44589836	219	2	Open sea	Weak transcription	Weak transcription	CD82	0.0066	0.0038	0.000121008584097733	4.78988781058933e-08	2.7629876777223e-07
chr11	10592095	10592466	372	2	Open sea	Weak transcription	Weak transcription	LYVE1;MRVI1;MRVI1-AS1	-0.0093	-0.00325	7.32518908829589e-06	1.53380597852718e-07	2.7649044522577e-07
chr2	42233968	42234349	382	2	Open sea	Quiescent/Low	Quiescent/Low	EML4	0.006	0.00555	1.03953449160667e-07	0.000119189070625186	2.76729118525786e-07
chr7	35830591	35830686	96	2	Open sea	Weak transcription	Weak transcription	SEPT7	0.0087	0.00535	4.87804476531515e-05	6.33311756365147e-08	2.77172741458675e-07
chr1	54376531	54376730	200	2	Open sea	Enhancers	Enhancers	SSBP3-AS1;ENSG00000225632;SSBP3	-0.0092	-0.00625	3.88505036373438e-06	2.34503378751158e-07	2.77504274959511e-07
chr17	73365717	73365761	45	3	Open sea	Flanking Bivalent TSS/Enh	Enhancers	SDK2	0.0063	0.00393333333333333	4.03646654295955e-06	1.61143919036899e-06	2.78068465141753e-07
chr8	21780842	21781271	430	2	Shore	Weak Repressed PolyComb	Weak Repressed PolyComb	GFRA2	0.0039	0.0035	5.17569635306868e-07	1.77720034768297e-06	2.79876828614068e-07
chr3	188568012	188568249	238	2	Open sea	Weak transcription	Enhancers	LPP;LPP-AS1	-0.0075	-0.00685	2.605863029703e-07	5.50247389963283e-06	2.80208531611621e-07
chr2	118852949	118853785	837	6	Shore;Island	Repressed PolyComb	Repressed PolyComb		0.008	0.00516666666666667	1.07104778981634e-07	0.000207530020702714	2.80463653575789e-07
chr16	70770775	70770875	101	2	Open sea	Flanking Active TSS	Flanking Active TSS	RP11-394B2.3;VAC14;VAC14-AS1	-0.0047	-0.0038	5.65006598966898e-07	1.5938015322479e-06	2.8133662378541e-07
chr11	691456	691742	287	4	Shelf	Weak transcription	Weak transcription	DEAF1	0.0048	0.00285	1.61970449829724e-05	1.59292249878777e-07	2.81417094718125e-07
chr3	49716815	49717442	628	3	Shore	Genic enhancers	Genic enhancers		-0.005	-7e-04	0.0026109721767927	3.02289872282825e-08	2.82118799217539e-07
chr2	199348801	199348899	99	2	Open sea	Quiescent/Low	Quiescent/Low	SATB2	-0.005	-0.00395	1.13645528646348e-07	7.45516193364818e-05	2.82434149719345e-07
chr3	64684782	64685230	449	6	Shore	Flanking Active TSS	Flanking Active TSS;Active TSS	ADAMTS9;ADAMTS9-AS2	0.0056	0.0029	4.00267207944983e-05	0.000115098338311246	2.82509309518054e-07
chr3	52670630	52671069	440	2	Open sea	Genic enhancers;Strong transcription	Genic enhancers	PBRM1	-0.0088	-0.00645	4.82757849484632e-07	2.00896175490083e-06	2.83059813877365e-07
chr1	93567334	93567377	44	2	Open sea	Transcr. at gene 5' and 3'	Genic enhancers	BCAR3	-0.0105	-0.0058	9.19581526032083e-05	5.33746574552274e-08	2.84113592597206e-07
chr1	232804582	232805308	727	7	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	MAP10	-0.0084	-0.00335714285714286	1.57249023629656e-06	0.000354935672847432	2.84655098096244e-07
chr11	47175939	47176386	448	2	Shore	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	ARFGAP2	-0.0051	-0.0031	8.42499240928383e-05	5.55251371698909e-08	2.87423439046169e-07
chr1	32179042	32179177	136	4	Shore	Flanking Active TSS	Flanking Active TSS	TXLNA	-0.0057	-0.003325	2.65923419074041e-07	3.97580344776071e-05	2.88000828953293e-07
chr1	9086297	9086309	13	2	Open sea	Quiescent/Low	Quiescent/Low	SLC2A5	0.0069	0.00645	1.23278247541898e-07	5.43545438461644e-05	2.8854082866421e-07
chr2	178807393	178807963	571	5	Open sea	Active TSS	Active TSS	TTN	-0.005	-0.0038	3.67958902293562e-08	0.00133928292571858	2.88740813009383e-07
chr10	89476843	89477289	447	3	Open sea	Enhancers	Enhancers;Weak transcription	SLC16A12	-0.0066	-0.00476666666666667	4.13234803005139e-06	5.50052310688706e-06	2.89127674679638e-07
chr2	222320329	222321128	800	11	Shore	Bivalent Enhancer;Weak Repressed PolyComb	Flanking Bivalent TSS/Enh;Repressed PolyComb	AC010980.2	0.0055	0.00290909090909091	5.0215846395633e-06	8.68246607838914e-05	2.89504619043799e-07
chr12	726006	726626	621	3	Open sea	Weak transcription;Enhancers	Weak transcription;Enhancers	WNK1	-0.0047	-0.0019	7.01789410328959e-06	1.21112874075405e-06	2.89747563746454e-07
chr15	41894631	41895450	820	5	Open sea	Flanking Active TSS;Enhancers	Enhancers;Weak transcription	RP11-23P13.6;SPTBN5	0.0039	0.00274	2.982090287024e-08	0.00270715707789102	2.89861830876944e-07
chr15	67131113	67131376	264	2	Open sea	Enhancers;Flanking Active TSS	Enhancers	SMAD3	-0.0045	-0.0044	1.09824537683914e-07	0.000123611859530413	2.92235984303755e-07
chr22	39040135	39040150	16	3	Open sea	Quiescent/Low	Quiescent/Low	APOBEC3F;APOBEC3G	0.0045	0.0032	1.73542179057314e-07	6.62459236518698e-05	2.92777298684486e-07
chr13	30466581	30467083	503	3	Shore	Enhancers	Enhancers;Quiescent/Low	USPL1;HMGB1	-0.0043	-0.00403333333333333	6.80533725870914e-08	0.000484633922217811	2.92967608016272e-07
chr1	21111341	21111553	213	3	Open sea	Quiescent/Low	Quiescent/Low	EIF4G3	-0.008	-0.00346666666666667	0.00442949651799408	1.32672027422945e-08	2.93059183438605e-07
chr17	1754970	1755389	420	3	Shore	Enhancers	Weak transcription;Enhancers	SERPINF2	0.0069	0.00316666666666667	2.02186760742119e-06	6.84609725353501e-06	2.93157553450199e-07
chr16	1548864	1549070	207	3	Shore;Island	Genic enhancers	Genic enhancers	TELO2;TMEM204;JPT2;IFT140	0.0044	0.00243333333333333	1.83930191301231e-06	8.87678638057138e-06	2.94476857453783e-07
chr7	73424270	73424445	176	3	Island	Active TSS	Enhancers		0.0076	0.0065	7.08485616459394e-08	0.000567008566765152	2.94486208044211e-07
